LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2
38,Distance,4950,2,Threshold 5,0,0,0,5,8.14345926287561,="+Infinity",,2.44980396801265,2.52549292519737
39,Value,4950,2,Threshold 5,0,0,0,5,8.08000802223738,="+Infinity",,2.44681425326621,2.40350533065956
39,Vector,4950,2,Threshold 5,0,0,0,5,8.08001300795861,="+Infinity",,2.44680436670413,2.40350245900501
39,Oracle,4950,2,Threshold 5,0,0,0,5,8.08001035010005,="+Infinity",,2.44679553611138,2.40348151727234
39,Naive,4950,2,Threshold 5,386100,78,39,5,8.080006889877,="+Infinity",,2.44678339478152,2.40350028017775
39,Distance,4950,2,Threshold 5,0,0,0,5,8.08001297625887,="+Infinity",,2.44678511400829,2.40351674768101
40,Value,4950,2,Threshold 5,0,0,0,5,8.04586051627983,="+Infinity",,2.44681780989832,2.381131632482
40,Vector,4950,2,Threshold 5,0,0,0,5,8.04586028281281,="+Infinity",,2.44678914394922,2.38114200716372
40,Oracle,4950,2,Threshold 5,0,0,0,5,8.04582939449547,="+Infinity",,2.4467892869712,2.38116566281225
40,Naive,4950,2,Threshold 5,396000,80,40,5,8.04585588672978,="+Infinity",,2.44678506179223,2.38113594078014
40,Distance,4950,2,Threshold 5,0,0,0,5,8.04585029576003,="+Infinity",,2.44679151747189,2.38116402530348
41,Value,4950,2,Threshold 5,0,0,0,5,7.94140274685232,="+Infinity",,2.43208245769145,2.36078461771443
41,Vector,4950,2,Threshold 5,0,0,0,5,7.9414036925842,="+Infinity",,2.43206432826867,2.36078569178574
41,Oracle,4950,2,Threshold 5,0,0,0,5,7.9414148956095,="+Infinity",,2.43207090672749,2.36078735274074
41,Naive,4950,2,Threshold 5,405900,82,41,5,7.94141024497206,="+Infinity",,2.43210106007496,2.36078676078587
41,Distance,4950,2,Threshold 5,0,0,0,5,7.94138953055415,="+Infinity",,2.43206495752204,2.36079033299494
42,Value,4950,2,Threshold 5,0,0,0,5,7.93400274857972,="+Infinity",,2.43206901268962,2.3623219564771
42,Vector,4950,2,Threshold 5,0,0,0,5,7.93398941896265,="+Infinity",,2.43206393783527,2.3623470992236
42,Oracle,4950,2,Threshold 5,0,0,0,5,7.93399902338041,="+Infinity",,2.43207329755279,2.3623028389456
42,Naive,4950,2,Threshold 5,415800,84,42,5,7.93399651308106,="+Infinity",,2.4320769629126,2.36233543124378
42,Distance,4950,2,Threshold 5,0,0,0,5,7.93398450972597,="+Infinity",,2.43206556002602,2.36232235445127
43,Value,4950,2,Threshold 5,0,0,0,5,7.97431435476923,="+Infinity",,2.45759841564114,2.36233738470085
43,Vector,4950,2,Threshold 5,0,0,0,5,7.97430519219839,="+Infinity",,2.45755734396046,2.36233569777114
43,Oracle,4950,2,Threshold 5,0,0,0,5,7.97432033821516,="+Infinity",,2.45759192746753,2.3623755160571
43,Naive,4950,2,Threshold 5,425700,86,43,5,7.97431198177864,="+Infinity",,2.45758217396799,2.36233966506782
43,Distance,4950,2,Threshold 5,0,0,0,5,7.97430828879115,="+Infinity",,2.45753968059718,2.36232771868976
44,Value,4950,2,Threshold 5,0,0,0,5,7.93830909433127,="+Infinity",,2.46626445704281,2.31804885783241
44,Vector,4950,2,Threshold 5,0,0,0,5,7.93830689843334,="+Infinity",,2.46626869252594,2.31804249319201
44,Oracle,4950,2,Threshold 5,0,0,0,5,7.93833348069417,="+Infinity",,2.46621894189126,2.31802397899983
44,Naive,4950,2,Threshold 5,435600,88,44,5,7.93831907095824,="+Infinity",,2.46624859885837,2.3180555329802
44,Distance,4950,2,Threshold 5,0,0,0,5,7.93833652574207,="+Infinity",,2.46627028927654,2.31804799284912
45,Value,4950,2,Threshold 5,0,0,0,5,7.91797377484019,="+Infinity",,2.46622610022746,2.31097629732044
45,Vector,4950,2,Threshold 5,0,0,0,5,7.9179690884153,="+Infinity",,2.46623589126436,2.31100910562326
45,Oracle,4950,2,Threshold 5,0,0,0,5,7.91795681669035,="+Infinity",,2.46625297529577,2.31096145217717
45,Naive,4950,2,Threshold 5,445500,90,45,5,7.91793299318131,="+Infinity",,2.46624595221751,2.3109533753326
45,Distance,4950,2,Threshold 5,0,0,0,5,7.91796335585376,="+Infinity",,2.46626415871265,2.31098295838063
46,Value,4950,2,Threshold 5,0,0,0,5,7.91325083108917,="+Infinity",,2.47063974020881,2.31097301027683
46,Vector,4950,2,Threshold 5,0,0,0,5,7.91324065668346,="+Infinity",,2.47019921707215,2.31097652185558
46,Oracle,4950,2,Threshold 5,0,0,0,5,7.91324348005979,="+Infinity",,2.47061422624547,2.3110101473049
46,Naive,4950,2,Threshold 5,455400,92,46,5,7.91325866807959,="+Infinity",,2.58857954337319,2.31100145728388
46,Distance,4950,2,Threshold 5,0,0,0,5,7.91324562433476,="+Infinity",,2.47065430095198,2.31098740458161
47,Value,4950,2,Threshold 5,0,0,0,5,7.8161433617113,="+Infinity",,2.47064436614816,2.28460262001227
47,Vector,4950,2,Threshold 5,0,0,0,5,7.81615745445289,="+Infinity",,2.47067392184988,2.28460572764375
47,Oracle,4950,2,Threshold 5,0,0,0,5,7.81615926749677,="+Infinity",,2.47061626736509,2.28463281693674
