LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4
22,Oracle,4950,4,Threshold 5,0,0,0,5,7.67345330970078,="+Infinity",,0.479623317001327,0.562733957988215,0.544547199175014,0.363432728327524
22,Naive,4950,4,Threshold 5,435600,88,22,5,7.67345883225167,="+Infinity",,0.479807101790115,0.56299170178157,0.544516045373499,0.36345249404566
22,Distance,4950,4,Threshold 5,0,0,0,5,7.67345197187072,="+Infinity",,0.479585048376677,0.56294861369183,0.544444427953692,0.363432515793363
23,Value,4950,4,Threshold 5,0,0,0,5,7.55986935256118,="+Infinity",,0.422922005965262,0.562937976076938,0.543108105565935,0.360637820172215
23,Vector,4950,4,Threshold 5,0,0,0,5,7.55986365302083,="+Infinity",,0.423188534435823,0.562851725437454,0.544460954509418,0.360931449089193
23,Oracle,4950,4,Threshold 5,0,0,0,5,7.55982969706665,="+Infinity",,0.42315037808109,0.562900517681499,0.544597608287944,0.360624177096398
23,Naive,4950,4,Threshold 5,455400,92,23,5,7.55986233696557,="+Infinity",,0.423141554645696,0.562946562505488,0.544439229764905,0.360650869548508
23,Distance,4950,4,Threshold 5,0,0,0,5,7.55985138904583,="+Infinity",,0.42290310860389,0.562869621244943,0.543147972783714,0.360755311689559
24,Value,4950,4,Threshold 5,0,0,0,5,7.48540797491201,="+Infinity",,0.43378552926329,0.562855376959703,0.572938938979902,0.357792427682298
24,Vector,4950,4,Threshold 5,0,0,0,5,7.48536218582785,="+Infinity",,0.433785830593138,0.562894234950107,0.544584470872167,0.357796867848108
24,Oracle,4950,4,Threshold 5,0,0,0,5,7.48539271018119,="+Infinity",,0.433836467529872,0.562542682048345,0.543323229473614,0.358131194338583
24,Naive,4950,4,Threshold 5,475200,96,24,5,7.48537035953029,="+Infinity",,0.433780073825403,0.678503323271087,0.54447113835144,0.357799912423701
24,Distance,4950,4,Threshold 5,0,0,0,5,7.48540991860528,="+Infinity",,0.433914499186145,0.562957901873645,0.544562655426091,0.357801355281651
25,Value,4950,4,Threshold 5,0,0,0,5,7.47633275725293,="+Infinity",,0.412410362082497,0.578502796871817,0.542694470065143,0.357739467842237
25,Vector,4950,4,Threshold 5,0,0,0,5,7.47632900737636,="+Infinity",,0.412659764361436,0.577948786214776,0.544497746918225,0.357800696783144
25,Oracle,4950,4,Threshold 5,0,0,0,5,7.47632252181147,="+Infinity",,0.412425371977363,0.578409948471688,0.543889417508524,0.35779214584808
25,Naive,4950,4,Threshold 5,495000,100,25,5,7.47632540449911,="+Infinity",,0.412442641601771,0.578557180660411,0.543939364014108,0.357809680678471
25,Distance,4950,4,Threshold 5,0,0,0,5,7.47629486801283,="+Infinity",,0.412452915741667,0.578620988077958,0.543591473876702,0.35772214046105
26,Value,4950,4,Threshold 5,0,0,0,5,7.46098129093046,="+Infinity",,0.412450634636514,0.578549635255968,0.542713119180917,0.361914729957363
26,Vector,4950,4,Threshold 5,0,0,0,5,7.46096689045497,="+Infinity",,0.412425150810833,0.577978834119051,0.544468179006088,0.36194658983969
26,Oracle,4950,4,Threshold 5,0,0,0,5,7.46098078468999,="+Infinity",,0.41247246675951,0.578641772748753,0.542599366169114,0.361911639796134
26,Naive,4950,4,Threshold 5,514800,104,26,5,7.46098437887704,="+Infinity",,0.412479507688076,0.578638994054231,0.542620169272297,0.361932354543157
26,Distance,4950,4,Threshold 5,0,0,0,5,7.46096266490412,="+Infinity",,0.412456260648796,0.578406179708921,0.544499547649224,0.361928416316061
27,Value,4950,4,Threshold 5,0,0,0,5,7.40542105473484,="+Infinity",,0.412509977587504,0.578503753861085,0.513708149569524,0.361927907533826
27,Vector,4950,4,Threshold 5,0,0,0,5,7.40541797400682,="+Infinity",,0.412440370299421,0.578498660443287,0.513463286170648,0.361923245670909
27,Oracle,4950,4,Threshold 5,0,0,0,5,7.40539761625878,="+Infinity",,0.412460338611609,0.577915852006839,0.513778801137377,0.361873056483304
27,Naive,4950,4,Threshold 5,534600,108,27,5,7.40539641166042,="+Infinity",,0.412440272296621,0.578357503380161,0.513170307163563,0.361938284124278
27,Distance,4950,4,Threshold 5,0,0,0,5,7.40543056661656,="+Infinity",,0.41253938124126,0.578501544343368,0.513176371253962,0.361945908104488
28,Value,4950,4,Threshold 5,4,5,0,5,7.25232467714599,="+Infinity",,0.416379885818714,0.577910465849726,0.478375583578753,0.361947094974624
28,Vector,4950,4,Threshold 5,19800,5,0,5,7.25234739789245,="+Infinity",,0.416486959236309,0.578584423536157,0.464382910603646,0.362015194439266
28,Oracle,4950,4,Threshold 5,0,0,0,5,7.25233427656597,="+Infinity",,0.416511266013146,0.578491013114544,0.459582079101025,0.36190445104944
28,Naive,4950,4,Threshold 5,554400,112,28,5,7.25233628606468,="+Infinity",,0.41658746641049,0.578569480271895,0.464682346232522,0.36191518379438
28,Distance,4950,4,Threshold 5,39604,19,1,5,7.25233215664684,="+Infinity",,0.416354420117798,0.578598079150467,0.461017649431668,0.361939705538049
29,Value,4950,4,Threshold 5,4,5,0,5,7.24327403006625,="+Infinity",,0.416380433118718,0.565863285869412,0.464676182869809,0.353550117304664
29,Vector,4950,4,Threshold 5,19800,5,0,5,7.24326086002156,="+Infinity",,0.416352266423701,0.565933254193695,0.461873976219081,0.353603951164203
29,Oracle,4950,4,Threshold 5,0,0,0,5,7.24327747365977,="+Infinity",,0.416251029308626,0.565968566866957,0.479307931361745,0.35392400251402
29,Naive,4950,4,Threshold 5,574200,116,29,5,7.2432635642471,="+Infinity",,0.416374497657685,0.565981075137003,0.462625641096764,0.353541165440717
29,Distance,4950,4,Threshold 5,39604,19,1,5,7.24327616786084,="+Infinity",,0.416374537216299,0.565560204071886,0.463362180607149,0.353555048905392
30,Value,4950,4,Threshold 5,4,5,0,5,7.22204805313022,="+Infinity",,0.416376686915314,0.56868735187679,0.458710852637793,0.35367522647735
30,Vector,4950,4,Threshold 5,19800,5,0,5,7.22205853242488,="+Infinity",,0.416558798572922,0.568746736255264,0.458487689691665,0.353501241086974
30,Oracle,4950,4,Threshold 5,0,0,0,5,7.22203214200952,="+Infinity",,0.416396812374089,0.568767673622162,0.477539589708783,0.353517509167716
