LoopIndex,MonitoringScheme,VectorLength,NumOfNodes,Epsilon,Bandwidth,NumberOfMessages,NumberOfChannels,NumberOfFullSyncs,LowerBound,FunctionValue,UpperBound,,Node 1,Node 2,Node 3,Node 4,Node 5
96,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428724749,493182213.85,,9053765,16594197,15634910,15760796,23723171
97,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428954475,493182213.85,,9061738,16552399,15644438,15768803,23796791
98,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,429294280,493182213.85,,9052477,16540077,15635194,15784711,23823419
99,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,429359144,493182213.85,,9055807,16478019,15660216,15740157,23842645
100,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,429524325,493182213.85,,9050553,16435708,15649844,15763684,23857708
101,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,429541508,493182213.85,,9056440,16420285,15651111,15761286,23866985
102,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,429603210,493182213.85,,9059848,16397048,15607427,15796986,23870361
103,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,429679374,493182213.85,,9053316,16344357,15626799,15825615,23849268
104,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,429642557,493182213.85,,9063817,16335736,15636689,15828552,23810899
105,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,429967350,493182213.85,,9065547,16303097,15665151,15843822,23826202
106,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,429781396,493182213.85,,9049908,16294456,15667093,15833870,23816014
107,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,429953381,493182213.85,,9058594,16287644,15697970,15864932,23792482
108,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,430350826,493182213.85,,9068383,16317417,15716211,15877769,23817844
109,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,430363868,493182213.85,,9067529,16304835,15714356,15899696,23816654
110,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,430421881,493182213.85,,9046213,16311752,15726244,15901162,23841830
111,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,430409703,493182213.85,,9062748,16306993,15705726,15919788,23805270
112,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,430475924,493182213.85,,9056262,16303526,15711833,15951541,23772646
113,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,430653323,493182213.85,,9067717,16300486,15702186,15960034,23786818
114,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,430715032,493182213.85,,9100297,16310132,15706841,15954998,23790023
115,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,430878799,493182213.85,,9121972,16301656,15723158,15955410,23761417
116,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,430431972,493182213.85,,9134721,16266026,15702458,15933807,23659037
117,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,430775065,493182213.85,,9167719,16249759,15723128,15930807,23661004
118,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,430948193,493182213.85,,9207992,16213274,15735413,15927416,23624940
119,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,430974408,493182213.85,,9213149,16203563,15730244,15955503,23580611
120,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431360850,493182213.85,,9229577,16199640,15736447,15960366,23572850
121,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431622688,493182213.85,,9231093,16196346,15771514,15977796,23530116
122,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,432016548,493182213.85,,9228449,16187492,15801601,15975340,23545439
123,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431951501,493182213.85,,9233496,16163322,15800368,15962260,23545397
124,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431768284,493182213.85,,9246958,16161953,15762001,15965299,23526296
125,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431653978,493182213.85,,9241915,16139407,15782315,15926522,23550570
126,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431571412,493182213.85,,9253097,16142783,15776123,15872262,23539897
127,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431757684,493182213.85,,9257758,16183352,15778205,15873730,23555459
128,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431621796,493182213.85,,9240275,16202176,15791302,15866495,23529888
129,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431555759,493182213.85,,9220351,16212782,15792578,15825359,23531514
130,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431764006,493182213.85,,9214638,16207563,15824276,15796011,23550837
131,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431643916,493182213.85,,9206277,16163395,15819165,15777415,23564893
132,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431958722,493182213.85,,9195536,16135119,15829834,15794449,23590671
133,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431952541,493182213.85,,9180779,16094980,15842618,15774873,23594313
134,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,432017527,493182213.85,,9169573,16074083,15836740,15775277,23590490
135,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,431935931,493182213.85,,9161331,16068723,15861648,15772507,23568516
136,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,432258243,493182213.85,,9163865,16053049,15865583,15794886,23623970
137,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,432258039,493182213.85,,9156549,16027194,15870057,15798703,23609127
138,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,432552317,493182213.85,,9180055,16019935,15910423,15815073,23583781
139,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,432883007,493182213.85,,9193158,16038064,15905103,15846772,23613994
140,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,433146362,493182213.85,,9218119,16024391,15884989,15867341,23639490
141,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,433296402,493182213.85,,9208295,16000758,15907525,15866283,23646407
142,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,433485130,493182213.85,,9204093,15988040,15936998,15881686,23649251
143,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,433650210,493182213.85,,9194511,15975976,15948048,15882471,23706580
144,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434245092,493182213.85,,9209721,15966861,15980868,15894145,23783220
145,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434311671,493182213.85,,9176270,15961758,16015137,15874105,23849678
146,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434362492,493182213.85,,9159643,15960436,16063328,15873263,23836835
147,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434566821,493182213.85,,9170292,15961187,16055328,15861995,23903627
148,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434977136,493182213.85,,9186842,15955799,16051451,15876092,23956306
149,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435127900,493182213.85,,9197527,15976923,16100880,15871210,23956848
150,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435272780,493182213.85,,9204630,15950196,16131413,15853530,23963512
151,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435390333,493182213.85,,9221255,15923779,16145721,15881748,23977041
152,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435549994,493182213.85,,9278857,15926416,16143271,15907895,23957031
153,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435546083,493182213.85,,9315145,15923053,16160121,15871786,23925335
154,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435435273,493182213.85,,9340057,15910674,16176093,15881783,23903793
155,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435385334,493182213.85,,9345393,15911827,16177041,15863086,23875389
156,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435481082,493182213.85,,9347393,15883720,16186577,15875217,23879565
157,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435265496,493182213.85,,9375855,15859650,16164447,15882858,23844352
158,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435428250,493182213.85,,9367811,15868077,16174190,15864247,23873569
159,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435220435,493182213.85,,9374150,15866888,16150389,15836253,23860553
160,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435301251,493182213.85,,9376209,15873227,16144571,15825159,23843241
161,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435455875,493182213.85,,9366522,15842651,16164611,15835401,23830542
162,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435511870,493182213.85,,9390632,15831874,16174343,15816678,23821894
163,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435579789,493182213.85,,9388650,15801610,16161489,15834443,23837584
164,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435493616,493182213.85,,9383382,15807273,16157513,15815620,23844192
165,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435627392,493182213.85,,9385567,15819605,16163356,15804421,23832541
166,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435634136,493182213.85,,9382550,15806713,16169677,15806985,23847608
167,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435273970,493182213.85,,9359772,15790228,16161498,15770036,23894060
168,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435218372,493182213.85,,9356801,15797809,16162447,15778099,23909258
169,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434906809,493182213.85,,9362533,15819007,16151193,15741243,23895371
170,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435018665,493182213.85,,9364017,15829733,16136749,15733174,23891683
171,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435186000,493182213.85,,9371271,15812821,16155890,15724068,23934925
172,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435359716,493182213.85,,9370891,15784590,16172479,15756851,23984104
173,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435273288,493182213.85,,9373254,15774801,16170240,15751363,23983655
174,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434955747,493182213.85,,9382046,15758314,16189457,15736327,23969766
175,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434733636,493182213.85,,9407355,15762221,16189088,15748207,23894637
176,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,435137278,493182213.85,,9427299,15781130,16219059,15765220,23885306
177,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434951637,493182213.85,,9421151,15803744,16234618,15759105,23814907
178,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434992799,493182213.85,,9402351,15792536,16238299,15781245,23769365
179,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434782257,493182213.85,,9405528,15777112,16232650,15780738,23731441
180,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434669838,493182213.85,,9419872,15752026,16219878,15757783,23737658
181,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434760879,493182213.85,,9415620,15773916,16240405,15778051,23706818
182,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434775382,493182213.85,,9429192,15764416,16266288,15784366,23675692
183,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,434204147,493182213.85,,9436804,15751032,16225567,15755610,23633839
