LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25
18,Dist L2,5000,25,Lower0.5Upper2,252,346,0,448669809,939410680,1794679236,,0,0,141,0,0,0,0,26,14,0,0,108,66013983,509289977,1752,0,181293,1781,549738,63,0,10278,1,0,0
19,Value,5000,25,Lower0.5Upper2,250371,605,1,451393523,962335094,1805574092,,0,0,140,0,0,0,0,22,12,0,0,93,66843175,524858422,1818,0,178722,1870,557111,71,0,10775,1,0,0
19,Vector,5000,25,Lower0.5Upper2,1180000,326,0,448669809,962335094,1794679236,,0,0,140,0,0,0,0,22,12,0,0,93,66843175,524858422,1818,0,178722,1870,557111,71,0,10775,1,0,0
19,Oracle Vector,5000,25,Lower0.5Upper2,800000,213,0,448669809,962335094,1794679236,,0,0,140,0,0,0,0,22,12,0,0,93,66843175,524858422,1818,0,178722,1870,557111,71,0,10775,1,0,0
19,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,962335094,1794679236,,0,0,140,0,0,0,0,22,12,0,0,93,66843175,524858422,1818,0,178722,1870,557111,71,0,10775,1,0,0
19,Dist L2,5000,25,Lower0.5Upper2,258,354,0,448669809,962335094,1794679236,,0,0,140,0,0,0,0,22,12,0,0,93,66843175,524858422,1818,0,178722,1870,557111,71,0,10775,1,0,0
20,Value,5000,25,Lower0.5Upper2,250377,613,1,451393523,998152588,1805574092,,0,0,144,0,0,0,0,20,11,0,0,91,68977453,547245371,1804,0,175140,1826,569955,84,0,10232,1,0,0
20,Vector,5000,25,Lower0.5Upper2,1210000,334,0,448669809,998152588,1794679236,,0,0,144,0,0,0,0,20,11,0,0,91,68977453,547245371,1804,0,175140,1826,569955,84,0,10232,1,0,0
20,Oracle Vector,5000,25,Lower0.5Upper2,820000,218,0,448669809,998152588,1794679236,,0,0,144,0,0,0,0,20,11,0,0,91,68977453,547245371,1804,0,175140,1826,569955,84,0,10232,1,0,0
20,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,998152588,1794679236,,0,0,144,0,0,0,0,20,11,0,0,91,68977453,547245371,1804,0,175140,1826,569955,84,0,10232,1,0,0
20,Dist L2,5000,25,Lower0.5Upper2,266,365,0,448669809,998152588,1794679236,,0,0,144,0,0,0,0,20,11,0,0,91,68977453,547245371,1804,0,175140,1826,569955,84,0,10232,1,0,0
21,Value,5000,25,Lower0.5Upper2,250383,621,1,451393523,1024630919,1805574092,,0,0,144,0,0,0,0,21,13,0,0,93,70893750,562256154,1816,0,176155,1828,570922,84,0,10732,1,0,0
21,Vector,5000,25,Lower0.5Upper2,1230000,339,0,448669809,1024630919,1794679236,,0,0,144,0,0,0,0,21,13,0,0,93,70893750,562256154,1816,0,176155,1828,570922,84,0,10732,1,0,0
21,Oracle Vector,5000,25,Lower0.5Upper2,820000,218,0,448669809,1024630919,1794679236,,0,0,144,0,0,0,0,21,13,0,0,93,70893750,562256154,1816,0,176155,1828,570922,84,0,10732,1,0,0
21,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,1024630919,1794679236,,0,0,144,0,0,0,0,21,13,0,0,93,70893750,562256154,1816,0,176155,1828,570922,84,0,10732,1,0,0
21,Dist L2,5000,25,Lower0.5Upper2,270,370,0,448669809,1024630919,1794679236,,0,0,144,0,0,0,0,21,13,0,0,93,70893750,562256154,1816,0,176155,1828,570922,84,0,10732,1,0,0
22,Value,5000,25,Lower0.5Upper2,250387,626,1,451393523,1042060759,1805574092,,0,0,144,0,0,0,0,28,15,0,0,94,72504156,570895918,1892,0,178856,1867,574516,86,0,10613,1,0,0
22,Vector,5000,25,Lower0.5Upper2,1270000,350,0,448669809,1042060759,1794679236,,0,0,144,0,0,0,0,28,15,0,0,94,72504156,570895918,1892,0,178856,1867,574516,86,0,10613,1,0,0
22,Oracle Vector,5000,25,Lower0.5Upper2,820000,218,0,448669809,1042060759,1794679236,,0,0,144,0,0,0,0,28,15,0,0,94,72504156,570895918,1892,0,178856,1867,574516,86,0,10613,1,0,0
22,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,1042060759,1794679236,,0,0,144,0,0,0,0,28,15,0,0,94,72504156,570895918,1892,0,178856,1867,574516,86,0,10613,1,0,0
22,Dist L2,5000,25,Lower0.5Upper2,274,375,0,448669809,1042060759,1794679236,,0,0,144,0,0,0,0,28,15,0,0,94,72504156,570895918,1892,0,178856,1867,574516,86,0,10613,1,0,0
23,Value,5000,25,Lower0.5Upper2,250391,631,1,451393523,1055548479,1805574092,,0,0,144,0,0,0,0,39,15,0,0,96,73989175,576089252,1947,0,180783,1890,596151,127,0,10241,1,0,0
23,Vector,5000,25,Lower0.5Upper2,1300000,357,0,448669809,1055548479,1794679236,,0,0,144,0,0,0,0,39,15,0,0,96,73989175,576089252,1947,0,180783,1890,596151,127,0,10241,1,0,0
23,Oracle Vector,5000,25,Lower0.5Upper2,850000,225,0,448669809,1055548479,1794679236,,0,0,144,0,0,0,0,39,15,0,0,96,73989175,576089252,1947,0,180783,1890,596151,127,0,10241,1,0,0
23,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,1055548479,1794679236,,0,0,144,0,0,0,0,39,15,0,0,96,73989175,576089252,1947,0,180783,1890,596151,127,0,10241,1,0,0
23,Dist L2,5000,25,Lower0.5Upper2,274,375,0,448669809,1055548479,1794679236,,0,0,144,0,0,0,0,39,15,0,0,96,73989175,576089252,1947,0,180783,1890,596151,127,0,10241,1,0,0
